Titre,Auteur,Nationalité,EAN,mois_début,jour_début,Année_début,date_début,mois_fin,jour_fin,année_fin,date_fin,ecart_date,Genre auteur,Format,Pages,Editeur
"Trap : Rap, drogue, argent, survie","Adeyemi Kemi,  Raphaël Da Cruz,  Kaluža  Jernej",N/A,9782492469039,6,18,2021,2021-06-18T00:00:00Z,6,22,2021,2021-06-22T00:00:00Z,4,C,Broché,175,"Audimat Éditions, Éditions Divergences"
L'Art de perdre,Alice Zeniter,Française,9782081418011,6,20,2022,2022-06-20T00:00:00Z,6,29,2022,2022-06-29T00:00:00Z,9,F,Ebook,512,Flammarion
Toute une moitié du monde,Alice Zeniter,Française,9782080259332,11,1,2022,2022-11-01T00:00:00Z,11,4,2022,2022-11-04T00:00:00Z,3,F,Ebook,240,Flammarion
Juste avant l’oubli,Alice Zeniter,Française,9782081334816,3,30,2023,2023-03-30T00:00:00Z,4,4,2023,2023-04-04T00:00:00Z,5,F,Ebook,288,Flammarion
La Saga Crispr,Aline Richard,Française,9782081375741,5,5,2022,2022-05-05T00:00:00Z,5,16,2022,2022-05-16T00:00:00Z,11,F,Ebook,400,Flammarion
L'Homme qui savait la langue des serpents,Andrus Kivirähk,Estonienne,9782370550637,8,15,2022,2022-08-15T00:00:00Z,8,26,2022,2022-08-26T00:00:00Z,11,M,Ebook,480,Le Tripode
Wikidata,Anne Chardonnens,Suisse,,1,14,2021,2021-01-14T00:00:00Z,1,18,2021,2021-01-18T00:00:00Z,4,F,Broché,420,
Gorilla Girl,Anne Schmauch,Française,9782377314690,7,26,2021,2021-07-26T00:00:00Z,7,29,2021,2021-07-29T00:00:00Z,3,F,Ebook,369,Sarbacane
Tombeaux,Annette Wieviorka,Française,9782021478181,2,3,2023,2023-02-03T00:00:00Z,3,4,2023,2023-03-04T00:00:00Z,29,F,Ebook,384,Seuil
Les Armoires vides,Annie Ernaux,Française,9782070376001,5,31,2021,2021-05-31T00:00:00Z,6,4,2021,2021-06-04T00:00:00Z,4,F,Ebook,192,Gallimard
Les Années,Annie Ernaux,Française,9782070779222,8,1,2023,2023-08-01T00:00:00Z,8,4,2023,2023-08-04T00:00:00Z,3,F,Ebook,256,Gallimard
Dondog,Antoine Volodine,Française,9782020617109,1,10,2020,2020-01-10T00:00:00Z,1,15,2020,2020-01-15T00:00:00Z,5,M,Broché,368,Seuil
Vies oubliées,Arlette Farge,Française,9782348045738,6,9,2023,2023-06-09T00:00:00Z,6,17,2023,2023-06-17T00:00:00Z,8,F,Ebook,304,La Découverte
La vérité sur la lumière,Auður Ava Ólafsdóttir,Islandaise,9791038700642,5,28,2022,2022-05-28T00:00:00Z,5,31,2022,2022-05-31T00:00:00Z,3,F,Ebook,224,Zulma
Le Rouge vif de la rhubarbe,Auður Ava Ólafsdóttir,Islandaise,9782843048173,4,11,2021,2021-04-11T00:00:00Z,4,11,2021,2021-04-11T00:00:00Z,0,F,Ebook,160,Zulma
Rosa candida,Auður Ava Ólafsdóttir,Islandaise,9782843045219,4,11,2021,2021-04-11T00:00:00Z,4,17,2021,2021-04-17T00:00:00Z,6,F,Ebook,333,Zulma
L'Embellie,Auður Ava Ólafsdóttir,Islandaise,9782843045899,4,17,2021,2021-04-17T00:00:00Z,4,21,2021,2021-04-21T00:00:00Z,4,F,Ebook,395,Zulma
L'Exception,Auður Ava Ólafsdóttir,Islandaise,9782843046957,4,21,2021,2021-04-21T00:00:00Z,4,25,2021,2021-04-25T00:00:00Z,4,F,Ebook,338,Zulma
Ör,Auður Ava Ólafsdóttir,Islandaise,9782843048067,4,26,2021,2021-04-26T00:00:00Z,5,1,2021,2021-05-01T00:00:00Z,5,F,Ebook,240,Zulma
Miss Islande,Auður Ava Ólafsdóttir,Islandaise,9782843048692,5,2,2021,2021-05-02T00:00:00Z,5,8,2021,2021-05-08T00:00:00Z,6,F,Ebook,288,Zulma
Sex-shop,Baptiste Coulmont,Française,9782916275161,1,15,2020,2020-01-15T00:00:00Z,1,25,2020,2020-01-25T00:00:00Z,10,M,Broché,264,Dilecta
Camarade Lune,Barbara Balzerani,Italienne,9782366244281,9,3,2023,2023-09-03T00:00:00Z,9,10,2023,2023-09-10T00:00:00Z,7,F,Ebook,176,Cambourakis
"Alger, rue des Bananiers",Béatrice Commengé,Française,9782378560836,11,7,2023,2023-11-07T00:00:00Z,11,12,2023,2023-11-12T00:00:00Z,5,F,Broché,128,Verdier
Tout le monde peut être féministe,bell hooks,Américaine,9791097088286,8,27,2022,2022-08-27T00:00:00Z,8,27,2022,2022-08-27T00:00:00Z,0,F,Broché,168,Divergences
La volonté de changer,bell hooks,Américaine,9791097088415,8,28,2022,2022-08-28T00:00:00Z,9,9,2022,2022-09-09T00:00:00Z,12,F,Broché,240,Divergences
Le démon de l'écriture,Ben Kafka,Américaine,9782930601083,1,2,2021,2021-01-02T00:00:00Z,1,4,2021,2021-01-04T00:00:00Z,2,M,Broché,182,Zones Sensibles Editions
Vövöl,Bérengère Cournut,Française,9782370553539,10,28,2023,2023-10-28T00:00:00Z,10,28,2023,2023-10-28T00:00:00Z,0,F,Broché,96,Le Tripode
Vivre vite,Brigitte Giraud,Française,9782080207340,9,22,2022,2022-09-22T00:00:00Z,9,23,2022,2022-09-23T00:00:00Z,1,F,Ebook,208,Flammarion
Controverses mode d'emploi,Bruno Latour,Française,9782724627152,2,11,2021,2021-02-11T00:00:00Z,2,14,2021,2021-02-14T00:00:00Z,3,C,Broché,317,Presses de Sciences Po
Où atterrir ?,Bruno Latour,Française,9782707197009,5,10,2021,2021-05-10T00:00:00Z,5,13,2021,2021-05-13T00:00:00Z,3,M,Ebook,127,La Découverte
Où suis-je ? - Leçons du confinement à l'usage des terrestres,Bruno Latour,Française,9782359252002,7,23,2021,2021-07-23T00:00:00Z,7,26,2021,2021-07-26T00:00:00Z,3,M,Ebook,192,Empêcheurs de penser rond
Open Design: Fabrication numérique et mouvement maker (Esthétique des données),Camille Bosqué,Française,9782490077588,9,2,2021,2021-09-02T00:00:00Z,9,12,2021,2021-09-12T00:00:00Z,10,F,Broché,216,B42
"Thésée, sa vie nouvelle",Camille de Toledo,Française,9782378560775,2,28,2021,2021-02-28T00:00:00Z,3,4,2021,2021-03-04T00:00:00Z,4,M,Broché,251,Verdier
Pleine et douce,Camille Froidevaux-Metterie,Française,9782848054674,6,24,2023,2023-06-24T00:00:00Z,6,25,2023,2023-06-25T00:00:00Z,1,F,Ebook,224,Sabine Wespieser
Un corps à soi,Camille Froidevaux-Metterie,Française,9782021448665,7,6,2023,2023-07-06T00:00:00Z,7,23,2023,2023-07-23T00:00:00Z,17,F,Ebook,352,Seuil
À l’ombre de l’histoire des autres,Camille Lefebvre,Française,9782713228902,3,28,2023,2023-03-28T00:00:00Z,4,6,2023,2023-04-06T00:00:00Z,9,F,Broché,200,EHESS
Des pays au crépuscule,Camille Lefebvre,Française,9782213718101,5,5,2023,2023-05-05T00:00:00Z,5,12,2023,2023-05-12T00:00:00Z,7,F,Broché,352,Fayard
Les damnées de la mer - Femmes et frontières en Méditerranée,Camille Schmoll,Française,9782348041075,11,14,2022,2022-11-14T00:00:00Z,11,20,2022,2022-11-20T00:00:00Z,6,F,Ebook,248,La Découverte
Algorithmes : la bombe à retardement,Cathy O'Neil,Américaine,9782352049807,11,24,2020,2020-11-24T00:00:00Z,11,30,2020,2020-11-30T00:00:00Z,6,F,Ebook,340,Les Arènes
Le roi n’a pas sommeil,Cécile Coulon,Française,9782878585094,2,7,2022,2022-02-07T00:00:00Z,2,14,2022,2022-02-14T00:00:00Z,7,F,Ebook,152,Viviane Hamy
Le pied à terre,Cécile Coulon,Française,9782080253446,11,27,2022,2022-11-27T00:00:00Z,11,27,2022,2022-11-27T00:00:00Z,0,F,Broché,192,Arthaud
Noir volcan,Cécile Coulon,Française,9791027802449,9,4,2021,2021-09-04T00:00:00Z,9,5,2021,2021-09-05T00:00:00Z,1,F,Broché,148,Castor Astral
Petit éloge du running,Cécile Coulon,Française,9791025203798,9,5,2021,2021-09-05T00:00:00Z,9,6,2021,2021-09-06T00:00:00Z,1,F,Ebook,128,Les Nouvelles Editions François Bourin
Une bête au paradis,Cécile Coulon,Française,9782378800789,1,26,2020,2020-01-26T00:00:00Z,1,29,2020,2020-01-29T00:00:00Z,3,F,Ebook,354,L’Iconoclaste
Les grande villes n’existent pas,Cécile Coulon,Française,9782370210999,2,29,2020,2020-02-29T00:00:00Z,2,29,2020,2020-02-29T00:00:00Z,0,F,Broché,112,Raconter la vie
Le rire du grand blessé,Cécile Coulon,Française,9782878585841,1,8,2023,2023-01-08T00:00:00Z,1,11,2023,2023-01-11T00:00:00Z,3,F,Ebook,136,Viviane Hamy
Faillir être flingué,Céline Minard,Française,9782743625832,8,11,2023,2023-08-11T00:00:00Z,8,16,2023,2023-08-16T00:00:00Z,5,F,Ebook,336,Rivages
Le grand jeu,Céline Minard,Française,9782743637507,9,12,2023,2023-09-12T00:00:00Z,9,17,2023,2023-09-17T00:00:00Z,5,F,Ebook,192,Rivages
Les héroïnes de séries américaines,Céline Morin,Française,9782869064911,4,11,2020,2020-04-11T00:00:00Z,4,13,2020,2020-04-13T00:00:00Z,2,F,Ebook,288,François Rabelais
En transit,Céline Regnard,Française,9782381910161,3,3,2023,2023-03-03T00:00:00Z,3,12,2023,2023-03-12T00:00:00Z,9,F,Broché,456,Anamosa
Americanah,Chimamanda Ngozi Adichie,Nigériane,9782070142354,5,16,2021,2021-05-16T00:00:00Z,5,23,2021,2021-05-23T00:00:00Z,7,F,Ebook,528,Gallimard
Dans ma maison sous terre,Chloé Delaume,Française,9782020983020,1,23,2023,2023-01-23T00:00:00Z,1,25,2023,2023-01-25T00:00:00Z,2,F,Broché,216,Seuil
Le Cœur synthétique,Chloé Delaume,Française,9782021425451,9,21,2023,2023-09-21T00:00:00Z,9,26,2023,2023-09-26T00:00:00Z,5,F,Broché,208,Seuil
Ce genre de petites choses,Claire Keegan,Irlandaise,9782848053721,7,27,2023,2023-07-27T00:00:00Z,7,29,2023,2023-07-29T00:00:00Z,2,F,Ebook,120,Sabine Wespieser
La passion selon G.H,Clarice Lispector,Brésilienne,9782721008510,1,25,2023,2023-01-25T00:00:00Z,1,31,2023,2023-01-31T00:00:00Z,6,F,Broché,225,Des Femmes - Antoinette Fouque
Romance in Marseille,Claude McKay,Américaine,9791097210069,8,5,2022,2022-08-05T00:00:00Z,8,6,2022,2022-08-06T00:00:00Z,1,M,Ebook,148,Héliotropismes
Boys don’t cry,Coll.,N/A,9782753518278,4,22,2020,2020-04-22T00:00:00Z,5,15,2020,2020-05-15T00:00:00Z,23,C,Ebook,332,Presses Universitaire de Rennes
Histoire de la Normandie,Coll.,N/A,2000166985317,7,22,2020,2020-07-22T00:00:00Z,10,3,2020,2020-10-03T00:00:00Z,73,C,Broché,540,Privat
Big Data et traçabilité numérique,Coll.,N/A,9782722604667,12,8,2020,2020-12-08T00:00:00Z,12,31,2020,2020-12-31T00:00:00Z,23,C,Ebook,218,Collège de France
Love Me Tender,Constance Debré,Française,9782081471733,11,15,2023,2023-11-15T00:00:00Z,11,23,2023,2023-11-23T00:00:00Z,8,F,Broché,192,Flammarion
Seule en sa demeure,Cécile Coulon,Française,9782378802400,5,5,2021,2021-05-05T00:00:00Z,5,15,2021,2021-05-15T00:00:00Z,10,F,Ebook,333,L’Iconoclaste
Le bal au Kremlin,Curzio Malaparte,Italienne,9782070767120,1,22,2022,2022-01-22T00:00:00Z,1,23,2022,2022-01-23T00:00:00Z,1,M,Broché,196,Gallimard
Le compagnon de voyage,Curzio Malaparte,Italienne,9782710330905,3,1,2020,2020-03-01T00:00:00Z,3,1,2020,2020-03-01T00:00:00Z,0,M,Ebook,112,Quai Voltaire
Ce qui ne peut être volé,Cynthia Fleury et Antoine Fenoglio,Française,9782072997327,10,24,2022,2022-10-24T00:00:00Z,10,25,2022,2022-10-25T00:00:00Z,1,C,Ebook,48,Gallimard
L’état qu’il nous faut,"Daniel Agacinski, Romain Beaucher, Céline Danion",Française,9782701321639,10,24,2022,2022-10-24T00:00:00Z,10,30,2022,2022-10-30T00:00:00Z,6,C,Broché,163,Berger-Levrault
Ce que je ne veux pas savoir,Deborah Levy,Sud-africaine,9782364684508,6,25,2021,2021-06-25T00:00:00Z,6,26,2021,2021-06-26T00:00:00Z,1,F,Ebook,144,Du Sous-sol
Le Coût de la vie,Deborah Levy,Sud-africaine,9782364684546,9,19,2021,2021-09-19T00:00:00Z,9,20,2021,2021-09-20T00:00:00Z,1,F,Ebook,160,Du Sous-sol
Etat des lieux,Deborah Levy,Sud-africaine,9782364685796,5,27,2023,2023-05-27T00:00:00Z,5,31,2023,2023-05-31T00:00:00Z,4,F,Ebook,240,Du Sous-sol
Missak (roman),Didier Daeninckx,Française,9782262028022,4,7,2023,2023-04-07T00:00:00Z,4,10,2023,2023-04-10T00:00:00Z,3,M,Broché,300,Perrin
La Fameuse Invasion de la Sicile par les ours,Dino Buzzati,Italienne,9782075118781,11,6,2020,2020-11-06T00:00:00Z,11,8,2020,2020-11-08T00:00:00Z,2,M,Broché,176,Gallimard
"Black feminism : anthologie du féminisme africain-américain, 1975-2000",dir. Elsa Dorlin,N/A,9782296051041,5,18,2023,2023-05-18T00:00:00Z,5,31,2023,2023-05-31T00:00:00Z,13,F,Broché,266,L’Harmattan
Le Bois de la nuit,Djuna Barnes,Américaine,9782757893975,1,15,2023,2023-01-15T00:00:00Z,1,17,2023,2023-01-17T00:00:00Z,2,F,Broché,208,Points
Marseille 73,Dominique Manotti,Française,9791037501196,1,7,2023,2023-01-07T00:00:00Z,1,8,2023,2023-01-08T00:00:00Z,1,F,Ebook,385,Les Arènes
Le Silence,Don DeLillo,Américaine,9782330149307,4,10,2021,2021-04-10T00:00:00Z,4,11,2021,2021-04-11T00:00:00Z,1,M,Ebook,112,Actes Sud
Americana,Don DeLillo,Américaine,9782742726530,3,1,2020,2020-03-01T00:00:00Z,3,17,2020,2020-03-17T00:00:00Z,16,M,Broché,464,Actes Sud
La rumeur d’Orléans,Edgar Morin,Française,9782021199406,3,5,2022,2022-03-05T00:00:00Z,3,12,2022,2022-03-12T00:00:00Z,7,M,Ebook,256,Le Seuil
Show Boat,Edna Ferber,Américaine,9782366247596,7,7,2023,2023-07-07T00:00:00Z,7,14,2023,2023-07-14T00:00:00Z,7,F,Broché,470,Cambourakis
Mémoires vives,Edward Snowden,Américaine,9782021441048,3,17,2020,2020-03-17T00:00:00Z,3,26,2020,2020-03-26T00:00:00Z,9,M,Ebook,384,Seuil
D'Afrique en Palestine,Edward Wilmot Blyden,Libérienne,9782271126511,8,31,2021,2021-08-31T00:00:00Z,9,1,2021,2021-09-01T00:00:00Z,1,M,Ebook,206,CNRS édition
Celle qui fuit et celle qui reste,Elena Ferrante,Italienne,9782070178407,10,25,2021,2021-10-25T00:00:00Z,11,3,2021,2021-11-03T00:00:00Z,9,F,Broché,480,Gallimard
Se défendre,Elsa Dorlin,Française,9782355221101,6,7,2022,2022-06-07T00:00:00Z,6,20,2022,2022-06-20T00:00:00Z,13,F,Ebook,200,Zones
Crimes sexuels et société à la fin de l’Ancien Régime,Enora Peronneau Saint-Jalmes,Française,9782262095956,7,7,2022,2022-07-07T00:00:00Z,7,18,2022,2022-07-18T00:00:00Z,11,F,Ebook,500,Perrin
Comédies Françaises,Éric Reinhardt,Française,9782072796982,9,26,2020,2020-09-26T00:00:00Z,10,18,2020,2020-10-18T00:00:00Z,22,M,Broché,480,Gallimard
Une sortie honorable,Éric Vuillard,Française,9782330159665,7,5,2022,2022-07-05T00:00:00Z,7,5,2022,2022-07-05T00:00:00Z,0,M,Ebook,208,Actes Sud
Conquistadors,Éric Vuillard,Française,9782330053222,8,7,2022,2022-08-07T00:00:00Z,8,14,2022,2022-08-14T00:00:00Z,7,M,Broché,400,Actes Sud
Parcourir la terre disparue,Erin Swan,Américaine,9782351782798,8,4,2023,2023-08-04T00:00:00Z,8,8,2023,2023-08-08T00:00:00Z,4,F,Ebook,496,Gallmeister
Le goût du vrai,Étienne Klein,Française,9782072916717,2,19,2022,2022-02-19T00:00:00Z,2,19,2022,2022-02-19T00:00:00Z,0,M,Broché,64,Gallimard
Les imaginaires numériques au musée ?,Eva Sandri,Française,9791092305647,1,6,2021,2021-01-06T00:00:00Z,1,8,2021,2021-01-08T00:00:00Z,2,F,Broché,124,MkF Éditions
Le mirage numérique,Evgeny Morozov,Biélorusse,9782350961132,10,18,2020,2020-10-18T00:00:00Z,10,20,2020,2020-10-20T00:00:00Z,2,M,Broché,144,Les Prairies Ordinaires
Jean des bandes noires,Florence Alazard,Française,9782379338656,8,16,2023,2023-08-16T00:00:00Z,8,19,2023,2023-08-19T00:00:00Z,3,F,Ebook,248,Passés composés
Le quai de Ouistream,Florence Aubenas,Française,9782879296777,12,13,2020,2020-12-13T00:00:00Z,12,16,2020,2020-12-16T00:00:00Z,3,F,Ebook,276,L’Olivier
Les masques et la mosquée,François-Xavier Fauvelle,Française,9782271143709,9,26,2022,2022-09-26T00:00:00Z,10,9,2022,2022-10-09T00:00:00Z,13,M,Ebook,400,CNRS édition
Féminisme décolonial,Françoise Vergès,Française,9782358721745,4,14,2020,2020-04-14T00:00:00Z,4,15,2020,2020-04-15T00:00:00Z,1,F,Ebook,208,La Fabrique
Décolonisons les arts!,"Françoise Vergès, Leïla Cukierman,  Gerty Dambury",Française,9782851819451,3,27,2021,2021-03-27T00:00:00Z,3,29,2021,2021-03-29T00:00:00Z,2,F,Broché,144,L'Arche
Une femme à contre-jour,Gaëlle Josse,Française,9782882505682,8,16,2020,2020-08-16T00:00:00Z,8,18,2020,2020-08-18T00:00:00Z,2,F,Ebook,160,Noir sur blanc
Situer le numérique,Gauthier Roussilhe,Française,,12,10,2020,2020-12-10T00:00:00Z,12,13,2020,2020-12-13T00:00:00Z,3,M,Ebook,,
L’invention de la mémoire,Georges Chapoutier,Française,9782271089335,10,23,2020,2020-10-23T00:00:00Z,11,1,2020,2020-11-01T00:00:00Z,9,M,Ebook,300,CNRS édition
La Ferme des animaux,George Orwell,Britannique,9782377291168,1,31,2022,2022-01-31T00:00:00Z,2,5,2022,2022-02-05T00:00:00Z,5,M,Broché,168,Libertalia
La privatisation numérique,Gilles Jeannot et Simon Cottin-Marx,Française,9791097084240,5,17,2022,2022-05-17T00:00:00Z,5,22,2022,2022-05-22T00:00:00Z,5,M,Broché,160,Raisons d’agir
La certitude du doute,Goliarda Sapienza,Italienne,9782370550453,6,30,2022,2022-06-30T00:00:00Z,7,4,2022,2022-07-04T00:00:00Z,4,F,Broché,240,Le Tripode
L'Art de la joie,Goliarda Sapienza,Italienne,9782370550446,1,2,2021,2021-01-02T00:00:00Z,2,2,2021,2021-02-02T00:00:00Z,31,F,Ebook,640,Le Tripode
Les certitudes du doute,Goliarda Sapienza,Italienne,9782370550453,1,30,2020,2020-01-30T00:00:00Z,2,8,2020,2020-02-08T00:00:00Z,9,F,Broché,240,Le Tripode
Le fil de midi,Goliarda Sapienza,Italienne,9782370553355,2,7,2023,2023-02-07T00:00:00Z,2,11,2023,2023-02-11T00:00:00Z,4,F,Broché,253,Le Tripode
Lettre ouverte,Goliarda Sapienza,Italienne,9782370552402,2,11,2023,2023-02-11T00:00:00Z,2,16,2023,2023-02-16T00:00:00Z,5,F,Broché,238,Le Tripode
Dirty Week-end,Helen Zahavi,Britannique,9782369147091,7,23,2023,2023-07-23T00:00:00Z,7,27,2023,2023-07-27T00:00:00Z,4,F,Ebook,224,Libretto
L’impossible patrimoine numérique ?,Hélène Bourdeloie et Christine Chevret-Castellani,Française,9782356875167,1,5,2022,2022-01-05T00:00:00Z,1,11,2022,2022-01-11T00:00:00Z,6,F,Broché,143,Le Bord de l’eau
Ruines biens rangées,Hélène Cixous,Française,9782072860188,2,2,2022,2022-02-02T00:00:00Z,2,6,2022,2022-02-06T00:00:00Z,4,F,Ebook,160,Gallimard
Sans ciel ni terre,Hélène Dumas,Française,9782348057892,8,31,2023,2023-08-31T00:00:00Z,9,6,2023,2023-09-06T00:00:00Z,6,F,Broché,307,La Découverte
Des blancs comme les autres ?,Illana Weizman,Française | Israélienne,9782234092365,3,8,2023,2023-03-08T00:00:00Z,3,12,2023,2023-03-12T00:00:00Z,4,F,Ebook,232,Stock
Le Votant,Isaac Asimov,Américaine,9782369352297,11,9,2020,2020-11-09T00:00:00Z,11,11,2020,2020-11-11T00:00:00Z,2,M,Broché,56,Passager clandestin
Carnet de mémoires coloniales,Isabela Figueiredo,Portugaise,9782367322223,3,2,2022,2022-03-02T00:00:00Z,3,5,2022,2022-03-05T00:00:00Z,3,F,Ebook,238,Chandeigne
Photo de famille,Isabelle Clair et Elsa Dorlin,Française,9782713229176,8,15,2022,2022-08-15T00:00:00Z,8,24,2022,2022-08-24T00:00:00Z,9,F,Broché,464,EHESS
Le complexe de la sorcière,Isabelle Sorente,Française,9782709666268,4,16,2020,2020-04-16T00:00:00Z,4,20,2020,2020-04-20T00:00:00Z,4,F,Ebook,300,Lattes
Harry Potter à l'école des sorciers,J. K. Rowling,Britannique,9782070584628,12,1,2020,2020-12-01T00:00:00Z,12,8,2020,2020-12-08T00:00:00Z,7,F,Broché,320,Gallimard
Harry Potter et la Chambre des secrets,J. K. Rowling,Britannique,9782070584642,1,14,2021,2021-01-14T00:00:00Z,2,1,2021,2021-02-01T00:00:00Z,18,F,Broché,368,European Schoolbooks Ltd
Les statues de la discorde,Jacqueline Lalouette,Française,9782379336409,10,2,2023,2023-10-02T00:00:00Z,10,6,2023,2023-10-06T00:00:00Z,4,F,Ebook,240,Passés composés
Mal d'archive. Une impression freudienne,Jacques Derrida,Française,9782718604541,1,29,2021,2021-01-29T00:00:00Z,2,1,2021,2021-02-01T00:00:00Z,3,M,Broché,150,Galilée
Meurtres à Atlanta,James Baldwin,Américaine,9782234088238,8,5,2020,2020-08-05T00:00:00Z,8,8,2020,2020-08-08T00:00:00Z,3,M,Ebook,180,Stock
American Tabloid,James Ellroy,Américaine,9782743656485,5,15,2020,2020-05-15T00:00:00Z,6,6,2020,2020-06-06T00:00:00Z,22,M,Broché,784,Rivages
Americain Death trip,James Ellroy,Américaine,9782743611705,6,6,2020,2020-06-06T00:00:00Z,7,15,2020,2020-07-15T00:00:00Z,39,M,Broché,960,Rivages
Underworld USA,James Ellroy,Américaine,9782743656492,7,16,2020,2020-07-16T00:00:00Z,8,4,2020,2020-08-04T00:00:00Z,19,M,Broché,928,Rivages
Orgueil et Préjugés,Jane Austen,Britannique,9782081229501,4,4,2020,2020-04-04T00:00:00Z,4,11,2020,2020-04-11T00:00:00Z,7,F,Ebook,368,Flammarion
La femme silencieuse,Janet Malcolm,Américaine,9782364685390,6,18,2023,2023-06-18T00:00:00Z,6,26,2023,2023-06-26T00:00:00Z,8,F,Ebook,240,Du Sous-sol
Terra Alta,Javier Cercas,Espagnole,9782330150143,7,23,2022,2022-07-23T00:00:00Z,7,26,2022,2022-07-26T00:00:00Z,3,M,Ebook,320,Actes Sud
Indépendance,Javier Cercas,Espagnole,9782330165437,7,26,2022,2022-07-26T00:00:00Z,8,2,2022,2022-08-02T00:00:00Z,7,M,Ebook,352,Actes Sud
Les Lois de la frontière,Javier Cercas,Espagnole,9782330027100,5,24,2021,2021-05-24T00:00:00Z,5,28,2021,2021-05-28T00:00:00Z,4,M,Broché,352,Actes Sud
Vie de Gérard Fulmard,Jean Echenoz,Française,9782707345875,8,19,2020,2020-08-19T00:00:00Z,8,21,2020,2020-08-21T00:00:00Z,2,M,Ebook,240,Minuit
Dans la forêt,Jean Hegland,Américaine,9782351786444,6,30,2023,2023-06-30T00:00:00Z,7,6,2023,2023-07-06T00:00:00Z,6,F,Ebook,320,Gallmeister
La Grande escapade,Jean-Philippe Blondel,Française,9782283031834,6,27,2021,2021-06-27T00:00:00Z,7,6,2021,2021-07-06T00:00:00Z,9,M,Ebook,72,Buchet-Chastel
Un si petit monde,Jean-Philippe Blondel,Française,9782283034088,9,15,2021,2021-09-15T00:00:00Z,9,19,2021,2021-09-19T00:00:00Z,4,M,Ebook,256,Buchet-Chastel
Tous ceux qui tombent,Jérémie Foa,Française,9782348057885,12,6,2021,2021-12-06T00:00:00Z,12,14,2021,2021-12-14T00:00:00Z,8,M,Ebook,352,La Découverte
Girandulata,Jérôme Colonna d’Istria,Française,9782361572945,2,26,2022,2022-02-26T00:00:00Z,2,27,2022,2022-02-27T00:00:00Z,1,M,Broché,200,Transboréal
L’Amérique,Joan Didion,Américaine,9782253156499,11,19,2022,2022-11-19T00:00:00Z,11,27,2022,2022-11-27T00:00:00Z,8,F,Broché,336,Grasset
Enquête sur les pratiques savantes ordinaires,Joëlle Le Marec et François Mairesse,Française,9782356875143,1,1,2022,2022-01-01T00:00:00Z,1,1,2022,2022-01-01T00:00:00Z,0,C,Broché,136,Le Bord de l’eau
1919,John Dos Passos,Américaine,9782072836282,7,30,2021,2021-07-30T00:00:00Z,8,12,2021,2021-08-12T00:00:00Z,13,M,Ebook,560,Gallimard
Le 42e Parallèle,John Dos Passos,Américaine,9782070376940,2,9,2021,2021-02-09T00:00:00Z,2,28,2021,2021-02-28T00:00:00Z,19,M,Broché,484,Gallimard
La guerre de Sécession,John Keegan,Américaine,9782262032494,1,12,2022,2022-01-12T00:00:00Z,1,31,2022,2022-01-31T00:00:00Z,19,M,Ebook,516,Perrin
Expo 58,Jonathan Coe,Britannique,9782070455102,4,22,2020,2020-04-22T00:00:00Z,4,26,2020,2020-04-26T00:00:00Z,4,M,Broché,368,Gallimard
Testament à l’anglaise,Jonathan Coe,Britannique,9782070403264,8,23,2020,2020-08-23T00:00:00Z,9,5,2020,2020-09-05T00:00:00Z,13,M,Broché,688,Gallimard
Crossroads,Jonathan Franzen,Américaine,9782823614565,11,24,2022,2022-11-24T00:00:00Z,12,19,2022,2022-12-19T00:00:00Z,25,M,Ebook,704,L’Olivier
Le déclin de la lune,Joseph Coulson,Américaine,9782848050379,1,3,2020,2020-01-03T00:00:00Z,1,10,2020,2020-01-10T00:00:00Z,7,M,Broché,496,Sabine Wespieser
La nuit. Le sommeil. La mort. Les étoiles.,Joyce Carol Oates,Américaine,9782848768953,1,1,2022,2022-01-01T00:00:00Z,1,19,2022,2022-01-19T00:00:00Z,18,F,Ebook,923,Philippe Rey
Folles nuits,Joyce Carol Oates,Américaine,9782848761824,6,5,2022,2022-06-05T00:00:00Z,6,16,2022,2022-06-16T00:00:00Z,11,F,Broché,238,Philippe Rey
Le Pouvoir des Mots: Discours de haine et politique du performatif,Judith Butler,Américaine,9782354801656,2,2,2021,2021-02-02T00:00:00Z,2,9,2021,2021-02-09T00:00:00Z,7,F,Broché,237,Amsterdam
"Ce qui fait une vie: Essai sur la violence, la guerre et le deuil",Judith Butler,Américaine,9782355220289,4,5,2021,2021-04-05T00:00:00Z,4,10,2021,2021-04-10T00:00:00Z,5,F,Ebook,180,La Découverte
Propriété privée,Julia Deck,Française,9782707347220,8,8,2023,2023-08-08T00:00:00Z,8,8,2023,2023-08-08T00:00:00Z,0,F,Ebook,176,Minuit
Liv Maria,Julia Kerninon,Française,9782378801540,11,29,2022,2022-11-29T00:00:00Z,11,30,2022,2022-11-30T00:00:00Z,1,F,Ebook,270,L’Iconoclaste
Toucher la terre ferme,Julia Kerninon,Française,9782378802752,10,26,2023,2023-10-26T00:00:00Z,10,27,2023,2023-10-27T00:00:00Z,1,F,Ebook,115,Iconoclaste
Général Gouraud,Julie d’Andurain,Française,9782262035884,12,1,2023,2023-12-01T00:00:00Z,12,15,2023,2023-12-15T00:00:00Z,14,F,Ebook,512,Perrin
Qu’on leur donne le chaos,Kae Tempest,Britannique,9782381980447,5,14,2023,2023-05-14T00:00:00Z,5,14,2023,2023-05-14T00:00:00Z,0,F,Broché,160,L'Arche
